City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,farafangana,-22.8167,47.8333,24.88,89,84,3.41,MG,1707691967
83,inarajan village,13.2736,144.7484,28.22,76,74,8.61,GU,1707691968
84,hirara,24.8,125.2833,15.92,62,2,4.12,JP,1707691888
85,am timan,11.0297,20.2827,27.83,16,1,3.67,TD,1707691969
86,west island,-12.1568,96.8225,27.99,78,73,3.6,CC,1707691969
87,ta`u,-14.2336,-169.5144,28.57,81,100,7.11,AS,1707691970
88,kingston,17.997,-76.7936,27.36,69,20,9.77,JM,1707691960
89,nar'yan-mar,67.6713,53.087,-30.5,100,57,1.79,RU,1707691970
90,invercargill,-46.4,168.35,15.01,74,99,1.34,NZ,1707691842
91,dire dawa,9.5931,41.8661,22.85,65,62,0.84,ET,1707691971
92,antalaha,-14.9003,50.2788,24.88,91,99,2.1,MG,1707691972
93,hailar,49.2,119.7,-7.76,82,87,7.42,CN,1707691972
94,vorgashor,67.5833,63.95,-32.13,100,100,2.05,RU,1707691972
95,al mutayrifi,25.4788,49.5576,14.19,81,88,3.0,SA,1707691974
96,shetpe,44.1667,52.1167,7.99,69,100,2.82,KZ,1707691974
97,oistins,13.0667,-59.5333,27.05,78,20,8.23,BB,1707691975
98,kalilangan,7.8211,124.7314,19.49,87,11,0.58,PH,1707691975
99,lobujya,27.95,86.8167,-19.3,16,0,2.37,NP,1707691975
100,ozernyy,55.5802,32.4127,-1.7,97,100,2.82,RU,1707691976
101,badger,64.8,-147.5333,-3.69,89,75,2.06,US,1707691812
102,mount pearl,47.5166,-52.7813,1.58,91,100,1.54,CA,1707691948
103,hadibu,12.65,54.0333,24.48,76,21,3.63,YE,1707691977
104,gilgit,35.9221,74.3087,1.57,27,67,2.3,PK,1707691978
105,velikiye luki,56.34,30.5452,-1.43,96,100,2.63,RU,1707691978
106,bardai,11.65,7.2333,24.05,17,1,3.62,NG,1707691978
107,zhosaly,45.4878,64.0781,-5.52,54,100,4.94,KZ,1707691979
108,the pas,53.8251,-101.2541,-5.99,79,100,2.06,CA,1707691980
